#,year,month,day,total_confirmed_cases,domestic_confirmed_cases,imported_confirmed_cases,death_cases
1,2020,01,20,1,0,1,0
2,2020,01,21,0,0,0,0
3,2020,01,22,0,0,0,0
4,2020,01,23,0,0,0,0
5,2020,01,24,1,0,1,0
6,2020,01,25,0,0,0,0
7,2020,01,26,1,0,1,0
8,2020,01,27,1,0,1,0
9,2020,01,28,0,0,0,0
10,2020,01,29,0,0,0,0
11,2020,01,30,3,1,2,0
12,2020,01,31,4,3,1,0
13,2020,02,01,1,0,1,0
14,2020,02,02,3,1,2,0
15,2020,02,03,0,0,0,0
16,2020,02,04,1,0,1,0
17,2020,02,05,5,3,2,0
18,2020,02,06,3,1,2,0
19,2020,02,07,0,0,0,0
20,2020,02,08,0,0,0,0
21,2020,02,09,3,1,2,0
22,2020,02,10,1,1,0,0
23,2020,02,11,0,0,0,0
24,2020,02,12,0,0,0,0
25,2020,02,13,0,0,0,0
26,2020,02,14,0,0,0,0
27,2020,02,15,0,0,0,0
28,2020,02,16,2,2,0,0
29,2020,02,17,0,0,0,0
30,2020,02,18,2,2,0,0
31,2020,02,19,34,34,0,0
32,2020,02,20,16,16,0,1
33,2020,02,21,74,74,0,0
34,2020,02,22,190,190,0,2
35,2020,02,23,210,209,1,0
36,2020,02,24,207,206,1,4
37,2020,02,25,130,129,1,1
38,2020,02,26,253,252,1,2
39,2020,02,27,449,447,2,1
40,2020,02,28,427,427,0,1
41,2020,02,29,909,909,0,3
42,2020,03,01,595,593,2,1
43,2020,03,02,686,684,2,6
44,2020,03,03,600,599,1,5
45,2020,03,04,516,516,0,4
46,2020,03,05,438,437,1,3
47,2020,03,06,518,518,0,7
48,2020,03,07,483,483,0,2
49,2020,03,08,367,366,1,6
50,2020,03,09,248,247,1,1
51,2020,03,10,131,131,0,3
52,2020,03,11,242,239,3,6
53,2020,03,12,114,112,2,6
54,2020,03,13,110,107,3,1
55,2020,03,14,107,102,5,5
56,2020,03,15,76,72,4,3
57,2020,03,16,74,70,4,0
58,2020,03,17,84,79,5,6
59,2020,03,18,93,80,13,3
60,2020,03,19,152,135,17,7
61,2020,03,20,87,73,14,3
62,2020,03,21,147,126,21,8
63,2020,03,22,98,77,21,2
64,2020,03,23,64,46,18,7
65,2020,03,24,76,46,30,9
66,2020,03,25,100,42,58,6
67,2020,03,26,104,56,48,5
68,2020,03,27,91,57,34,8
69,2020,03,28,146,90,56,5
70,2020,03,29,105,38,67,8
71,2020,03,30,78,35,43,6
72,2020,03,31,125,88,37,4
73,2020,04,01,101,56,45,3
74,2020,04,02,89,43,46,4
75,2020,04,03,86,37,49,5
76,2020,04,04,94,53,41,3
77,2020,04,05,81,31,50,6
78,2020,04,06,47,25,22,2
79,2020,04,07,47,23,24,6
80,2020,04,08,53,23,30,7
81,2020,04,09,39,13,26,4
82,2020,04,10,27,17,10,4
83,2020,04,11,30,16,14,3
84,2020,04,12,32,9,23,3
85,2020,04,13,25,10,15,3
86,2020,04,14,27,11,16,5
87,2020,04,15,27,13,14,3
88,2020,04,16,22,11,11,4
89,2020,04,17,22,7,15,1
90,2020,04,18,18,9,9,2
91,2020,04,19,8,2,6,2
92,2020,04,20,13,6,7,2
93,2020,04,21,9,4,5,1
94,2020,04,22,11,5,6,1
95,2020,04,23,8,4,4,2
96,2020,04,24,6,4,2,0
97,2020,04,25,10,5,5,0
98,2020,04,26,10,1,9,2
99,2020,04,27,10,3,7,1
100,2020,04,28,14,2,12,1
101,2020,04,29,9,4,5,2
102,2020,04,30,4,0,4,1
103,2020,05,01,9,1,8,1
104,2020,05,02,6,0,6,2
105,2020,05,03,13,3,10,0
106,2020,05,04,8,0,8,2
107,2020,05,05,3,0,3,2
108,2020,05,06,2,0,2,1
109,2020,05,07,4,1,3,1
110,2020,05,08,12,1,11,0
111,2020,05,09,18,17,1,0
112,2020,05,10,34,26,8,0
113,2020,05,11,35,29,6,0
114,2020,05,12,27,22,5,2
115,2020,05,13,26,22,4,1
116,2020,05,14,29,26,3,1
117,2020,05,15,27,22,5,0
118,2020,05,16,19,9,10,2
119,2020,05,17,13,6,7,0
120,2020,05,18,15,5,10,1
121,2020,05,19,13,9,4,0
122,2020,05,20,32,24,8,0
123,2020,05,21,12,10,2,1
124,2020,05,22,20,11,9,0
125,2020,05,23,23,19,4,2
126,2020,05,24,25,17,8,0
127,2020,05,25,16,13,3,1
128,2020,05,26,19,16,3,2
129,2020,05,27,40,37,3,0
130,2020,05,28,79,68,11,0
131,2020,05,29,58,55,3,0
132,2020,05,30,39,27,12,0
133,2020,05,31,27,15,12,1
134,2020,06,01,35,30,5,1
135,2020,06,02,38,36,2,1
136,2020,06,03,49,46,3,1
137,2020,06,04,39,33,6,0
138,2020,06,05,39,34,5,0
139,2020,06,06,51,43,8,0
140,2020,06,07,57,53,4,0
141,2020,06,08,37,32,5,0
142,2020,06,09,38,35,3,1
143,2020,06,10,50,43,7,2
144,2020,06,11,45,40,5,0
145,2020,06,12,56,43,13,1
146,2020,06,13,48,43,5,0
147,2020,06,14,34,31,3,0
148,2020,06,15,37,24,13,0
149,2020,06,16,34,21,13,1
150,2020,06,17,43,31,12,1
151,2020,06,18,59,51,8,1
152,2020,06,19,49,32,17,0
153,2020,06,20,67,36,31,0
154,2020,06,21,48,40,8,0
155,2020,06,22,17,11,6,0
156,2020,06,23,46,16,30,1
157,2020,06,24,51,30,21,0
158,2020,06,25,28,23,5,1
159,2020,06,26,39,26,13,0
160,2020,06,27,51,31,20,0
161,2020,06,28,62,40,22,0
162,2020,06,29,42,30,12,0
163,2020,06,30,42,22,20,0
164,2020,07,01,51,36,15,0
165,2020,07,02,54,44,10,0
166,2020,07,03,61,49,12,0
167,2020,07,04,63,36,27,1
168,2020,07,05,61,43,18,0
169,2020,07,06,48,24,24,1
170,2020,07,07,44,20,24,1
171,2020,07,08,62,30,32,0
172,2020,07,09,50,28,22,2
173,2020,07,10,45,23,22,1
174,2020,07,11,35,20,15,0
175,2020,07,12,44,21,23,1
176,2020,07,13,62,19,43,0
177,2020,07,14,33,14,19,0
178,2020,07,15,39,11,28,0
179,2020,07,16,61,14,47,1
180,2020,07,17,60,21,39,2
181,2020,07,18,39,11,28,1
182,2020,07,19,34,21,13,1
183,2020,07,20,26,4,22,1
184,2020,07,21,45,20,25,0
185,2020,07,22,63,29,34,1
186,2020,07,23,59,39,20,0
187,2020,07,24,41,28,13,1
188,2020,07,25,113,27,86,0
189,2020,07,26,58,12,46,0
190,2020,07,27,25,9,16,1
191,2020,07,28,28,5,23,1
192,2020,07,29,48,14,34,0
193,2020,07,30,18,7,11,0
194,2020,07,31,36,14,22,1
195,2020,08,01,31,8,23,0
196,2020,08,02,30,8,22,0
197,2020,08,03,23,3,20,0
198,2020,08,04,34,13,21,0
199,2020,08,05,33,13,20,1
200,2020,08,06,43,23,20,0
201,2020,08,07,20,9,11,1
202,2020,08,08,43,30,13,1
203,2020,08,09,36,30,6,1
204,2020,08,10,28,17,11,0
205,2020,08,11,34,23,11,0
206,2020,08,12,54,35,19,0
207,2020,08,13,56,47,9,0
208,2020,08,14,103,85,18,0
209,2020,08,15,166,154,12,0
210,2020,08,16,279,267,12,0
