#,year,month,category,is_korean,paid_amount
1,2018,1,호텔,1,41665708
2,2018,1,기타숙박,1,67423935
3,2018,1,여행업,1,20393343
4,2018,1,항공운송,1,64927862
5,2018,1,면세점,1,62264092
6,2018,1,관광기념품,1,4723330
7,2018,1,레저용품쇼핑,1,176406167
8,2018,1,대형쇼핑몰,1,770393590
9,2018,1,관광유원시설,1,6662306
10,2018,1,골프장,1,35429908
11,2018,1,기타레저,1,48947189
12,2018,1,문화서비스,1,48162156
13,2018,1,식음료,1,1675149043
14,2018,1,렌터카,1,4117106
15,2018,1,콘도,1,23317832
16,2018,1,육상운송,1,84582744
17,2018,1,수상운송,1,2359130
18,2018,1,스키장,1,6328161
19,2018,2,호텔,1,34707730
20,2018,2,기타숙박,1,60658659
21,2018,2,여행업,1,17045625
22,2018,2,항공운송,1,50642533
23,2018,2,면세점,1,54691814
24,2018,2,관광기념품,1,4359827
25,2018,2,레저용품쇼핑,1,169396890
26,2018,2,대형쇼핑몰,1,822689433
27,2018,2,관광유원시설,1,6306909
28,2018,2,골프장,1,45918830
29,2018,2,기타레저,1,45433906
30,2018,2,문화서비스,1,35446866
31,2018,2,식음료,1,1526472071
32,2018,2,렌터카,1,3971985
33,2018,2,콘도,1,16927386
34,2018,2,육상운송,1,73796648
35,2018,2,수상운송,1,2485802
36,2018,2,스키장,1,4283018
37,2018,2,카지노,1,507
38,2018,3,호텔,1,35985483
39,2018,3,기타숙박,1,69247692
40,2018,3,여행업,1,17280486
41,2018,3,항공운송,1,58391280
42,2018,3,면세점,1,56481090
43,2018,3,관광기념품,1,5692791
44,2018,3,레저용품쇼핑,1,228352982
45,2018,3,대형쇼핑몰,1,853722484
46,2018,3,관광유원시설,1,8043408
47,2018,3,골프장,1,105088806
48,2018,3,기타레저,1,52141065
49,2018,3,문화서비스,1,31894195
50,2018,3,식음료,1,1830589349
51,2018,3,렌터카,1,4052257
52,2018,3,콘도,1,9888861
53,2018,3,육상운송,1,78897491
54,2018,3,수상운송,1,3617742
55,2018,3,스키장,1,561147
56,2018,3,카지노,1,0
57,2018,4,호텔,1,35846669
58,2018,4,기타숙박,1,68919372
59,2018,4,여행업,1,17946725
60,2018,4,항공운송,1,60905885
61,2018,4,면세점,1,60477767
62,2018,4,관광기념품,1,6412754
63,2018,4,레저용품쇼핑,1,227827746
64,2018,4,대형쇼핑몰,1,785505482
65,2018,4,관광유원시설,1,7239731
66,2018,4,골프장,1,127389597
67,2018,4,기타레저,1,48605685
68,2018,4,문화서비스,1,38559676
69,2018,4,식음료,1,1801435582
70,2018,4,렌터카,1,4543170
71,2018,4,콘도,1,11679143
72,2018,4,육상운송,1,79725856
73,2018,4,수상운송,1,5388445
74,2018,4,스키장,1,343302
75,2018,5,호텔,1,39952647
76,2018,5,기타숙박,1,71747936
77,2018,5,여행업,1,20152603
78,2018,5,항공운송,1,59023887
79,2018,5,면세점,1,60845172
80,2018,5,관광기념품,1,6780717
81,2018,5,레저용품쇼핑,1,234945811
82,2018,5,대형쇼핑몰,1,850531283
83,2018,5,관광유원시설,1,9130543
84,2018,5,골프장,1,144152339
85,2018,5,기타레저,1,53086646
86,2018,5,문화서비스,1,43962535
87,2018,5,식음료,1,1907871941
88,2018,5,렌터카,1,5128107
89,2018,5,콘도,1,14437084
90,2018,5,육상운송,1,81500012
91,2018,5,수상운송,1,6506642
92,2018,5,스키장,1,547308
93,2018,6,호텔,1,37147801
94,2018,6,기타숙박,1,70445028
95,2018,6,여행업,1,18739872
96,2018,6,항공운송,1,60279932
97,2018,6,면세점,1,63025308
98,2018,6,관광기념품,1,5954724
99,2018,6,레저용품쇼핑,1,204729605
100,2018,6,대형쇼핑몰,1,792405867
101,2018,6,관광유원시설,1,8726050
102,2018,6,골프장,1,148257403
103,2018,6,기타레저,1,51502263
104,2018,6,문화서비스,1,41165734
105,2018,6,식음료,1,1811279371
106,2018,6,렌터카,1,4799055
107,2018,6,콘도,1,15116795
108,2018,6,육상운송,1,75105182
109,2018,6,수상운송,1,6339106
110,2018,6,스키장,1,541731
111,2018,7,호텔,1,41306267
112,2018,7,기타숙박,1,77153695
113,2018,7,여행업,1,22125454
114,2018,7,항공운송,1,63524823
115,2018,7,면세점,1,60555088
116,2018,7,관광기념품,1,5325388
117,2018,7,레저용품쇼핑,1,186152255
118,2018,7,대형쇼핑몰,1,837697858
119,2018,7,관광유원시설,1,10155007
120,2018,7,골프장,1,120874328
121,2018,7,기타레저,1,57706766
122,2018,7,문화서비스,1,50037589
123,2018,7,식음료,1,1866584631
124,2018,7,렌터카,1,5865058
125,2018,7,콘도,1,23411937
126,2018,7,육상운송,1,80364670
127,2018,7,수상운송,1,6456498
128,2018,7,스키장,1,816408
129,2018,8,호텔,1,49486180
130,2018,8,기타숙박,1,85038274
131,2018,8,여행업,1,17218530
132,2018,8,항공운송,1,56621140
133,2018,8,면세점,1,62222052
134,2018,8,관광기념품,1,5814313
135,2018,8,레저용품쇼핑,1,149546718
136,2018,8,대형쇼핑몰,1,789281154
137,2018,8,관광유원시설,1,11990068
138,2018,8,골프장,1,107043464
139,2018,8,기타레저,1,62937065
140,2018,8,문화서비스,1,69185909
141,2018,8,식음료,1,1917143449
142,2018,8,렌터카,1,6401878
143,2018,8,콘도,1,31872146
