#,year,month,tourism_receipts,tourism_expenditure,tourism_balance
1,2017,01,1176700000,2258900000,-1082200000
2,2017,02,1272600000,2265600000,-993000000
3,2017,03,1125600000,2252700000,-1127100000
4,2017,04,988400000,2098200000,-1109800000
5,2017,05,988100000,2305400000,-1317300000
6,2017,06,1008700000,2231200000,-1222500000
7,2017,07,956000000,2483600000,-1527600000
8,2017,08,1375500000,2387500000,-1012000000
9,2017,09,1216400000,2221800000,-1005400000
10,2017,10,1045000000,2600700000,-1555700000
11,2017,11,1081200000,2407700000,-1326500000
12,2017,12,1029700000,2446500000,-1416800000
13,2018,01,1241100000,3141600000,-1900500000
14,2018,02,1276900000,2561400000,-1284500000
15,2018,03,1590700000,2729300000,-1138600000
16,2018,04,1713400000,2499000000,-785600000
17,2018,05,1615300000,2688900000,-1073600000
18,2018,06,1669600000,2544500000,-874900000
19,2018,07,1487400000,2587400000,-1100000000
20,2018,08,1562000000,2690800000,-1128800000
21,2018,09,1521900000,2426900000,-905000000
22,2018,10,1850400000,2502600000,-652200000
23,2018,11,1401900000,2523800000,-1121900000
24,2018,12,1531200000,2631700000,-1100500000
25,2019,01,1446000000,2765900000,-1319900000
26,2019,02,1450000000,2231900000,-781900000
27,2019,03,2062200000,2194700000,-132500000
28,2019,04,2014000000,2332000000,-318000000
29,2019,05,1850700000,2516900000,-666200000
30,2019,06,1519300000,2484500000,-965200000
31,2019,07,1695700000,2631400000,-935700000
32,2019,08,1767600000,2456800000,-689200000
33,2019,09,1624700000,2250500000,-625800000
34,2019,10,1745300000,2344400000,-599100000
35,2019,11,1733600000,2456400000,-722800000
36,2019,12,1835800000,2595100000,-759300000
37,2020,01,1642800000,2631200000,-988400000
38,2020,02,1442000000,1402600000,39400000
39,2020,03,816900000,1032900000,-216000000
40,2020,04,536300000,735800000,-199500000
41,2020,05,583500000,658000000,-74500000
42,2020,06,594800000,822100000,-227300000
43,2020,07,732600000,884400000,-151800000
44,2020,08,783300000,942300000,-159000000
45,2020,09,788800000,980700000,-191900000
46,2020,10,752200000,1045000000,-292800000
47,2020,11,762800000,1125000000,-362200000
48,2020,12,745100000,1096400000,-351300000
49,2021,01,873600000,1143200000,-269600000
50,2021,02,713300000,927500000,-214200000
51,2021,03,858800000,1100200000,-241400000
52,2021,04,895300000,1422900000,-527600000
53,2021,05,937800000,1579000000,-641200000
54,2021,06,793000000,1202900000,-409900000
55,2021,07,825600000,1116900000,-291300000
56,2021,08,937600000,1226700000,-289100000
57,2021,09,966600000,1246500000,-279900000
58,2021,10,918900000,1273900000,-355000000
59,2021,11,1039100000,1435700000,-396600000
60,2021,12,862900000,1275700000,-412800000
61,2022,01,741200000,1020400000,-279200000
62,2022,02,769300000,1066800000,-297500000
63,2022,03,962400000,1287500000,-325100000
64,2022,04,891900000,1291300000,-399400000
65,2022,05,984700000,1440800000,-456100000
66,2022,06,995700000,1555200000,-559500000
67,2022,07,867300000,1522800000,-655500000
68,2022,08,1169100000,1767500000,-598400000
69,2022,09,1200400000,1526300000,-325900000
70,2022,10,1361500000,1717200000,-355700000
71,2022,11,1169000000,1770400000,-601400000
72,2022,12,1128100000,1989500000,-861400000
73,2023,01,861200000,2011900000,-1150700000
74,2023,02,976100000,1844400000,-868300000
75,2023,03,1245900000,1826900000,-581000000
76,2023,04,1422100000,1708300000,-286200000
77,2023,05,1437800000,2034500000,-596700000
78,2023,06,1183100000,2281300000,-1098200000
79,2023,07,1125000000,2303600000,-1178600000
80,2023,08,1361700000,2133700000,-772000000
81,2023,09,1309200000,2058800000,-749600000
82,2023,10,1663400000,2097200000,-433800000
83,2023,11,1302200000,2379600000,-1077400000
84,2023,12,1223800000,2290600000,-1066800000
